,tool,carbon_source,media,experimental,predicted
0,catpred,D-fructose,YEP,0.5382,0.354883627710726
1,catpred,D-glucose,YEP,0.5265,0.351588752204834
2,catpred,sucrose,YEP,0.523,0.353230111496472
3,catpred,D-mannose,YEP,0.5097,0.330939131785741
4,catpred,maltose,YEP,0.3364,0.33726085036592
5,catpred,raffinose,YEP,0.3809,0.354883627710725
6,catpred,D-galactose,YEP,0.2661,0.33093913178574
7,catpred,glycerol,YEP,0.257,0.308454397864451
8,catpred,trehalose,YEP,0.2142,0.333840640369838
9,catpred,D-glucose,MAA,0.3536,0.351307899880988
10,catpred,maltose,MAA,0.3457,0.336987489395487
11,catpred,D-fructose,MAA,0.333,0.354603794225067
12,catpred,glycerol,MAA,0.1417,0.308183853873252
13,catpred,D-glucose,Min,0.41,0.279598739567726
14,catpred,sucrose,Min,0.38,0.281263251100713
15,catpred,maltose,Min,0.4,0.265159453860196
16,catpred,D-galactose,Min,0.28,0.256421006359204
17,catpred,ethanol,Min,0.12,0.187342773224661
18,catpred,acetate,Min,0.17,0.087827232950529
19,dlkcat,D-fructose,YEP,0.5382,0.494416854841549
20,dlkcat,D-glucose,YEP,0.5265,0.486536743932394
21,dlkcat,sucrose,YEP,0.523,0.49021757981782
22,dlkcat,D-mannose,YEP,0.5097,0.460567649222479
23,dlkcat,maltose,YEP,0.3364,0.480600364378701
24,dlkcat,raffinose,YEP,0.3809,0.49441685456419
25,dlkcat,D-galactose,YEP,0.2661,0.460567648987665
26,dlkcat,glycerol,YEP,0.257,0.300306325817381
27,dlkcat,trehalose,YEP,0.2142,0.464475685898207
28,dlkcat,D-glucose,MAA,0.3536,0.486026443428291
29,dlkcat,maltose,MAA,0.3457,0.480096844557377
30,dlkcat,D-fructose,MAA,0.333,0.493897381101088
31,dlkcat,glycerol,MAA,0.1417,0.29995174541348
32,dlkcat,D-glucose,Min,0.41,0.394088128371395
33,dlkcat,sucrose,Min,0.38,0.397794206172249
34,dlkcat,maltose,Min,0.4,0.388113353669853
35,dlkcat,D-galactose,Min,0.28,0.3645248872648
36,dlkcat,ethanol,Min,0.12,0.226065993849471
37,dlkcat,acetate,Min,0.17,0.114486180363585
38,catapro,D-fructose,YEP,0.5382,0.268699782096631
39,catapro,D-glucose,YEP,0.5265,0.266641839207328
40,catapro,sucrose,YEP,0.523,0.267666931684783
41,catapro,D-mannose,YEP,0.5097,0.238162709543741
42,catapro,maltose,YEP,0.3364,0.253618189937233
43,catapro,raffinose,YEP,0.3809,0.268699782096632
44,catapro,D-galactose,YEP,0.2661,0.238162709543741
45,catapro,glycerol,YEP,0.257,0.212676576842565
46,catapro,trehalose,YEP,0.2142,0.250022736523683
47,catapro,D-glucose,MAA,0.3536,0.266474994769024
48,catapro,maltose,MAA,0.3457,0.253455717725453
49,catapro,D-fructose,MAA,0.333,0.268531177209776
50,catapro,glycerol,MAA,0.1417,0.21250299640268
51,catapro,D-glucose,Min,0.41,0.214731992242324
52,catapro,sucrose,Min,0.38,0.215506722151281
53,catapro,maltose,Min,0.4,0.204185262321393
54,catapro,D-galactose,Min,0.28,0.191405818307548
55,catapro,ethanol,Min,0.12,0.122110524876055
56,catapro,acetate,Min,0.17,0.0701324115487808
57,mmkcat,D-fructose,YEP,0.5382,0.359435948513134
58,mmkcat,D-glucose,YEP,0.5265,0.357696617234798
59,mmkcat,sucrose,YEP,0.523,0.358564089725277
60,mmkcat,D-mannose,YEP,0.5097,0.335633805551794
61,mmkcat,maltose,YEP,0.3364,0.34265808905344
62,mmkcat,raffinose,YEP,0.3809,0.359435948513137
63,mmkcat,D-galactose,YEP,0.2661,0.335633805551796
64,mmkcat,glycerol,YEP,0.257,0.220755564265682
65,mmkcat,trehalose,YEP,0.2142,0.339126914074463
66,mmkcat,D-glucose,MAA,0.3536,0.357016923417748
67,mmkcat,maltose,MAA,0.3457,0.342114284879735
68,mmkcat,D-fructose,MAA,0.333,0.358742967071177
69,mmkcat,glycerol,MAA,0.1417,0.220581554493356
70,mmkcat,D-glucose,Min,0.41,0.303210538640795
71,mmkcat,sucrose,Min,0.38,0.303988340170194
72,mmkcat,maltose,Min,0.4,0.28993002216692
73,mmkcat,D-galactose,Min,0.28,0.283695116377533
74,mmkcat,ethanol,Min,0.12,0.178576978714619
75,mmkcat,acetate,Min,0.17,0.118573964788484
76,turnup,D-fructose,YEP,0.5382,0.701481644726486
77,turnup,D-glucose,YEP,0.5265,0.697764685598017
78,turnup,sucrose,YEP,0.523,0.699618034888168
79,turnup,D-mannose,YEP,0.5097,0.665435952033711
80,turnup,maltose,YEP,0.3364,0.681667057853074
81,turnup,raffinose,YEP,0.3809,0.701481644726489
82,turnup,D-galactose,YEP,0.2661,0.665435952033707
83,turnup,glycerol,YEP,0.257,0.602440967084512
84,turnup,trehalose,YEP,0.2142,0.678923560353292
85,turnup,D-glucose,MAA,0.3536,0.697038241253572
86,turnup,maltose,MAA,0.3457,0.680949187298848
87,turnup,D-fructose,MAA,0.333,0.700750884347697
88,turnup,glycerol,MAA,0.1417,0.601702974526381
89,turnup,D-glucose,Min,0.41,0.616723788805341
90,turnup,sucrose,Min,0.38,0.618540186256155
91,turnup,maltose,Min,0.4,0.600943205142566
92,turnup,D-galactose,Min,0.28,0.577920034395535
93,turnup,ethanol,Min,0.12,0.362222537580733
94,turnup,acetate,Min,0.17,0.212402628355069
95,unikp,D-fructose,YEP,0.5382,0.278225463076577
96,unikp,D-glucose,YEP,0.5265,0.263571715595286
97,unikp,sucrose,YEP,0.523,0.270736003410099
98,unikp,D-mannose,YEP,0.5097,0.22765754453153
99,unikp,maltose,YEP,0.3364,0.237188331891999
100,unikp,raffinose,YEP,0.3809,0.278225463076578
101,unikp,D-galactose,YEP,0.2661,0.227657544531531
102,unikp,glycerol,YEP,0.257,0.200887550482841
103,unikp,trehalose,YEP,0.2142,0.229242902547029
104,unikp,D-glucose,MAA,0.3536,0.263392880335429
105,unikp,maltose,MAA,0.3457,0.236997855819015
106,unikp,D-fructose,MAA,0.333,0.278030548783256
107,unikp,glycerol,MAA,0.1417,0.200700420301183
108,unikp,D-glucose,Min,0.41,0.212310962468751
109,unikp,sucrose,Min,0.38,0.217644563157181
110,unikp,maltose,Min,0.4,0.191168549935727
111,unikp,D-galactose,Min,0.28,0.179738061139466
112,unikp,ethanol,Min,0.12,0.119094598386451
113,unikp,acetate,Min,0.17,0.0678785442316159
