,catapro,dlkcat,mmkcat,turnup,unikp,CatPred
r_0001_ENZ_YDL174C_and_YEL039C,0.0,0.0,0.0,0.0,0.0,0.0
r_0001_ENZ_YDL174C_and_YJR048W,0.0,0.0,0.0,0.0,0.0,0.0
r_0001_ENZ_YEL039C_and_YEL071W,0.0,0.0,0.0,0.0,0.0,0.0
r_0001_ENZ_YEL071W_and_YJR048W,0.0,0.0,0.0,0.0,0.0,0.0
r_0002_ENZ_YDL178W_and_YEL039C,0.0,0.0,0.0,0.0,0.0,0.0
r_0002_ENZ_YDL178W_and_YJR048W,0.0,0.0,0.0,0.0,0.0,0.0
r_0003_ENZ_YAL060W_REV,0.0,0.0,0.0,0.0,0.0,0.0
r_0003_ENZ_YAL060W_FWD,0.0,0.0,0.0,0.0,0.0,0.0
r_0004_ENZ_YEL039C_and_YML054C,0.0,0.0,0.0,0.0,0.0,0.0
r_0004_ENZ_YJR048W_and_YML054C,0.0,0.0,0.0,0.0,0.0,0.0
r_0005_ENZ_YPR165W_and_YLR342W,0.1587169739448232,0.291286466571434,0.2241150433940816,0.4558452209314288,0.1569274346886671,0.20666240570148
r_0005_ENZ_YPR165W_and_YGR032W,0.0,0.0,0.0,0.0,0.0,0.0
r_0005_ENZ_YPR165W_and_YMR306W,0.0,0.0,0.0,0.0,0.0,0.0
r_0006_ENZ_YGR143W,0.0530302025129387,0.0973240601029322,0.0748808765817063,0.1523061067743941,0.0524322851837449,0.0
r_0006_ENZ_YPR159W,0.0,0.0,0.0,0.0,0.0,0.0690496356739419
r_0007_ENZ_YIL020C,0.0163533833398672,0.0300126642485894,0.0230916651556658,0.0469679546948121,0.0161689983889052,0.02129343483798
r_0012_ENZ_YHR037W,0.0,0.0,0.0,0.0,0.0,0.0
r_0013_ENZ_YEL038W_and_YMR009W,4.079907192128425e-05,7.487678982265322e-05,5.761000570281283e-05,0.0001171775235598,4.033906100375795e-05,5.31237091036155e-05
r_0014_ENZ_YOL066C,0.0002147319443649,0.0003940883434169,0.0003032105378103,0.0006167237705407,0.0002123108344203,0.0002795984518885
r_0015_ENZ_YBR153W,0.0002147319443649,0.0003940883434169,0.0003032105378103,0.0006167237705407,0.0002123108344203,0.0002795984518885
r_0016_ENZ_YCL009C_and_YMR108W,0.0475308759688191,0.0,0.0,0.0,0.0469949637326442,0.0
r_0016_ENZ_YMR108W,0.0,0.0872313815585695,0.0671155961807452,0.136511691966878,0.0,0.0618890653511933
r_0017_ENZ_YNL256W,0.0,0.0,0.0,0.0,0.0,0.0
r_0018_ENZ_YER152C_REV,0.0,0.0,0.0,0.0,0.0,0.0
r_0018_ENZ_YER152C_FWD,0.0,0.0,0.0,0.0,0.0,0.0
r_0018_ENZ_YGL202W_REV,0.0,0.0,0.0,0.0,0.0,0.0
