tool,reaction,min_flux,max_flux
catpred,r_0001_ENZ_YDL174C_and_YEL039C,0.0,0.0007884919237008
catpred,r_0001_ENZ_YDL174C_and_YJR048W,0.0,0.0006213933161897
catpred,r_0001_ENZ_YEL039C_and_YEL071W,0.0,0.0006213934162424
catpred,r_0001_ENZ_YEL071W_and_YJR048W,0.0,0.0006213934162424
catpred,r_0002_ENZ_YDL178W_and_YEL039C,0.0,0.0006213933164005
catpred,r_0002_ENZ_YDL178W_and_YJR048W,0.0,0.0006213934164556
catpred,r_0003_ENZ_YAL060W_FWD,0.0,0.0
catpred,r_0003_ENZ_YAL060W_REV,0.0,0.0001943102949455
catpred,r_0004_ENZ_YEL039C_and_YML054C,0.0,0.0005167342755267
catpred,r_0004_ENZ_YJR048W_and_YML054C,0.0,0.000519688712275
catpred,r_0005_ENZ_YPR165W_and_YGR032W,0.0,0.2066619823174755
catpred,r_0005_ENZ_YPR165W_and_YLR342W,0.0,0.2066613410555362
catpred,r_0005_ENZ_YPR165W_and_YMR306W,0.0,0.206662380228295
catpred,r_0006_ENZ_YGR143W,0.0,0.0690494942137136
catpred,r_0006_ENZ_YPR159W,0.0,0.0690496271628914
catpred,r_0007_ENZ_YIL020C,0.0212933251417393,0.0213095990111868
catpred,r_0012_ENZ_YHR037W,0.0,0.0001603953977918
catpred,r_0013_ENZ_YEL038W_and_YMR009W,5.312343543056874e-05,8.087404162868985e-05
catpred,r_0014_ENZ_YOL066C,0.0002768010412381,0.0002795978568361
catpred,r_0015_ENZ_YBR153W,0.0002768010412381,0.000279597775085
catpred,r_0016_ENZ_YCL009C_and_YMR108W,0.0,0.0
catpred,r_0016_ENZ_YMR108W,0.0618889155408636,0.0619365567859593
catpred,r_0017_ENZ_YNL256W,0.0,1.7726539528241852e-05
catpred,r_0018_ENZ_YER152C_FWD,0.0,0.0
catpred,r_0018_ENZ_YER152C_REV,0.0,0.0
catpred,r_0018_ENZ_YGL202W_FWD,0.0919182474272775,0.0919474385649693
catpred,r_0018_ENZ_YGL202W_REV,0.0,0.0
catpred,r_0018_ENZ_YJL060W_FWD,0.0,0.0
catpred,r_0018_ENZ_YJL060W_REV,0.0,0.0
catpred,r_0019_ENZ_YHR063C,5.312343543051323e-05,6.388947040567216e-05
catpred,r_0020_ENZ_YBR249C,0.0,0.0
catpred,r_0020_ENZ_YDR035W,0.0863949528600619,0.0866190422883599
catpred,r_0021_ENZ_YDR204W_and_YGR255C_and_YLR201C_and_YML110C_and_YOL096C_and_YOR125C,0.0,0.0
catpred,r_0022_ENZ_YDR204W_and_YGR255C_and_YLR201C_and_YML110C_and_YOL096C_and_YOR125C,0.0,0.0
catpred,r_0023_ENZ_YGL009C_FWD,0.0,0.0
catpred,r_0023_ENZ_YGL009C_REV,0.0951936961909477,0.0952281958282309
catpred,r_0024_ENZ_YNL104C,0.0,4.1945248972108384e-05
catpred,r_0024_ENZ_YOR108W,0.0,7.421223248061633e-05
catpred,r_0025_ENZ_YNL104C,0.0951343424195297,0.0952395655767475
catpred,r_0026_ENZ_YGL202W,0.0,7.79797031594241e-05
catpred,r_0026_ENZ_YHR137W,0.0,7.745156795417296e-05
catpred,r_0026_ENZ_YHR208W,0.0,7.910753057046675e-05
catpred,r_0026_ENZ_YJR148W,0.0,7.910753057046675e-05
catpred,r_0027_ENZ_YDR234W_FWD,0.0919177922842919,0.0919486750195085
catpred,r_0027_ENZ_YDR234W_REV,0.0,0.0
catpred,r_0028_ENZ_YPR001W,0.0,7.754402117887693e-05
catpred,r_0029,0.0951936961909477,0.0952281931501094
catpred,r_0030,0.0,0.0
catpred,r_0032_ENZ_YOL064C,0.018448867863469,0.0184959460829858
catpred,r_0033_ENZ_YGL248W,0.0,2.970355288492432e-05
catpred,r_0033_ENZ_YOR360C,0.0,1.9695740566365305e-05
catpred,r_0034_ENZ_YOR360C,0.0,-0.0
catpred,r_0035_ENZ_YOR360C,0.0,-0.0
catpred,r_0036_ENZ_YOR360C,0.0,0.000131431740461
catpred,r_0037_ENZ_YOR360C,0.0,-0.0
catpred,r_0038_ENZ_YDR487C,0.0005536020824763,0.0005591960098329
catpred,r_0039_ENZ_YDR127W,0.0865994424183623,0.0866164608285273
catpred,r_0040_ENZ_YDR127W,0.0865991347300847,0.0866216780509286
catpred,r_0041_ENZ_YBR265W,0.0,0.0
catpred,r_0042_ENZ_YBR249C,0.0,0.0001873002538722
catpred,r_0042_ENZ_YDR035W,0.0,0.0001657309297755
catpred,r_0043_ENZ_YDR376W,0.0,0.0
catpred,r_0043_ENZ_YPL252C,0.0,0.0
catpred,r_0044_ENZ_YDR538W_and_YDR539W,0.0,0.0
catpred,r_0045_ENZ_YLR231C,0.0016967409844167,0.0016967409844167
catpred,r_0057_ENZ_YKR009C,0.0,2.1781353272594318e-05
catpred,r_0058_ENZ_YJR025C,0.0016971539016041,0.0016971539016041
catpred,r_0059_ENZ_YER175C,0.0,0.0
catpred,r_0060_ENZ_YGL009C_FWD,0.0,0.0
catpred,r_0060_ENZ_YGL009C_REV,0.0951936961907797,0.0952266559802901
catpred,r_0061_ENZ_YCL018W,0.0951936961907797,0.0952414459865663
catpred,r_0062_ENZ_YGR087C,0.0,4.521628321685345e-05
catpred,r_0062_ENZ_YLR044C,0.0,4.1014796306887424e-05
catpred,r_0062_ENZ_YLR134W,0.0,3.9431456430011336e-05
catpred,r_0063_ENZ_YBR176W,5.312343543051323e-05,6.388947040567216e-05
catpred,r_0064_ENZ_YDL080C,0.0,4.187497336737012e-05
catpred,r_0064_ENZ_YGR087C,0.0,4.957890574291274e-05
catpred,r_0064_ENZ_YLR044C,0.0,4.993204612440544e-05
catpred,r_0064_ENZ_YLR134W,0.0,4.991307327328193e-05
catpred,r_0065_ENZ_YDR127W,0.0865991347302974,0.086616460174513
catpred,r_0066_ENZ_YNR033W,1.7726451753422023e-05,2.903393766488793e-05
catpred,r_0067_ENZ_YMR289W,1.7726451753411615e-05,3.051021463336412e-05
catpred,r_0068_ENZ_YGR019W,0.0,5.405595468244151e-05
catpred,r_0069_ENZ_YCR053W,0.0,-0.0
catpred,r_0070,0.0,-0.0
catpred,r_0072_ENZ_YDL080C,0.0,5.380506019021791e-05
catpred,r_0073_ENZ_YLR410W,0.0,0.0
catpred,r_0073_ENZ_YOR163W,0.0,0.0
catpred,r_0074_ENZ_YDR017C,0.0,0.0
catpred,r_0075_ENZ_YLR017W,5.312343543056874e-05,8.087404162868985e-05
catpred,r_0076_ENZ_YER037W,0.0,0.0001625522809374
catpred,r_0076_ENZ_YGL224C,0.0,0.0001558310178739
catpred,r_0077_ENZ_YOR155C,0.0,0.0002196417320916
catpred,r_0078_ENZ_YER037W,0.0,0.0002113102843841
catpred,r_0078_ENZ_YGL224C,0.0,0.0002196544115342
catpred,r_0079_ENZ_YGR061C,0.0286315914494796,0.0286315914494796
catpred,r_0080_ENZ_YGL125W,0.0,0.0555134039445585
catpred,r_0080_ENZ_YGL125W_and_YPL023C,0.0,0.0555159430585819
catpred,r_0081_ENZ_YDR232W,0.0,3.607987848691652e-05
catpred,r_0082_ENZ_YOR163W,0.0,2.1984977715661103e-05
catpred,r_0083_ENZ_YDR017C,0.0,2.1984977715661103e-05
catpred,r_0084_ENZ_YER183C,0.0,0.0
catpred,r_0085_ENZ_YER091C,0.0,-0.0
catpred,r_0086_ENZ_YJR024C,5.3123435430561805e-05,7.79354780206798e-05
catpred,r_0087_ENZ_YPR118W_FWD,5.312343543051323e-05,8.143761229313651e-05
catpred,r_0087_ENZ_YPR118W_REV,0.0,0.0
catpred,r_0088_ENZ_YLR410W_FWD,0.0,0.0
catpred,r_0088_ENZ_YLR410W_REV,0.0,0.0
catpred,r_0089_ENZ_YLR410W_FWD,0.0,1.7527544120099492e-05
