tool,reaction,min_flux,max_flux
turnup,r_0001_ENZ_YDL174C_and_YEL039C,0.0,0.0001537524005774
turnup,r_0001_ENZ_YDL174C_and_YJR048W,0.0,0.0001536576288101
turnup,r_0001_ENZ_YEL039C_and_YEL071W,0.0,0.000278315764675
turnup,r_0001_ENZ_YEL071W_and_YJR048W,0.0,0.0002783157646639
turnup,r_0002_ENZ_YDL178W_and_YEL039C,0.0,0.0002523051038656
turnup,r_0002_ENZ_YDL178W_and_YJR048W,0.0,0.0002805315673128
turnup,r_0003_ENZ_YAL060W_FWD,0.0,0.0
turnup,r_0003_ENZ_YAL060W_REV,0.0,0.0002905454889094
turnup,r_0004_ENZ_YEL039C_and_YML054C,0.0,0.0002656727367842
turnup,r_0004_ENZ_YJR048W_and_YML054C,0.0,0.0002656727341374
turnup,r_0005_ENZ_YPR165W_and_YGR032W,0.0,0.4558451762736425
turnup,r_0005_ENZ_YPR165W_and_YLR342W,0.0,0.4558452646441149
turnup,r_0005_ENZ_YPR165W_and_YMR306W,0.0,0.4558452646441149
turnup,r_0006_ENZ_YGR143W,0.0,0.1523060918534226
turnup,r_0006_ENZ_YPR159W,0.0,0.152306115960623
turnup,r_0007_ENZ_YIL020C,0.0469679039733534,0.0469942124163903
turnup,r_0012_ENZ_YHR037W,0.0,0.000220539202232
turnup,r_0013_ENZ_YEL038W_and_YMR009W,0.0001171773970202,0.0001376526441128
turnup,r_0014_ENZ_YOL066C,0.0006105558733224,0.0006167246189391
turnup,r_0015_ENZ_YBR153W,0.0006105558733224,0.0006167246189391
turnup,r_0016_ENZ_YCL009C_and_YMR108W,0.0,0.0
turnup,r_0016_ENZ_YMR108W,0.136511879759707,0.13655126752342
turnup,r_0017_ENZ_YNL256W,0.0,3.910026054208144e-05
turnup,r_0018_ENZ_YER152C_FWD,0.0,0.0
turnup,r_0018_ENZ_YER152C_REV,0.0,0.0
turnup,r_0018_ENZ_YGL202W_FWD,0.2027483266555023,0.2027653016721673
turnup,r_0018_ENZ_YGL202W_REV,0.0,0.0
turnup,r_0018_ENZ_YJL060W_FWD,0.0,0.0
turnup,r_0018_ENZ_YJL060W_REV,0.0,0.0
turnup,r_0019_ENZ_YHR063C,0.0001171773970199,0.0001241697466369
turnup,r_0020_ENZ_YBR249C,0.1907545170203652,0.1910611190754211
turnup,r_0020_ENZ_YDR035W,0.0,0.0
turnup,r_0021_ENZ_YDR204W_and_YGR255C_and_YLR201C_and_YML110C_and_YOL096C_and_YOR125C,0.0,0.0
turnup,r_0022_ENZ_YDR204W_and_YGR255C_and_YLR201C_and_YML110C_and_YOL096C_and_YOR125C,0.0,0.0
turnup,r_0023_ENZ_YGL009C_FWD,0.0,0.0
turnup,r_0023_ENZ_YGL009C_REV,0.20997417508827,0.2100428761453416
turnup,r_0024_ENZ_YNL104C,0.0,7.062736278207193e-05
turnup,r_0024_ENZ_YOR108W,0.0,6.904177871089223e-05
turnup,r_0025_ENZ_YNL104C,0.2098980855035864,0.2100260465563005
turnup,r_0026_ENZ_YGL202W,0.0,0.0001389926011084
turnup,r_0026_ENZ_YHR137W,0.0,0.0001386041410285
turnup,r_0026_ENZ_YHR208W,0.0,0.0001287162315033
turnup,r_0026_ENZ_YJR148W,0.0,0.0002518471166347
turnup,r_0027_ENZ_YDR234W_FWD,0.2027483266555023,0.2027813524618252
turnup,r_0027_ENZ_YDR234W_REV,0.0,0.0
turnup,r_0028_ENZ_YPR001W,0.0,0.0001132220598902
turnup,r_0029,0.20997417508827,0.2099928960444219
turnup,r_0030,0.0,0.0
