,type,growth
0,random,0.0
1,random,0.0
2,random,2.9103830456733704e-11
3,random,0.0
4,random,0.0
5,random,0.0
6,random,0.0
7,random,0.0
8,random,
9,random,0.0
10,random,
11,random,
12,random,
13,random,0.0
14,random,-2.9103830456733704e-11
15,random,0.0
16,random,0.0
17,random,2.0728042886967766e-11
18,random,0.0
19,random,0.0
20,random,0.0
21,random,
22,random,0.0
23,random,0.0
24,random,4.145608577393553e-11
25,random,0.0
26,random,2.1827872842550278e-11
27,random,0.0
28,random,0.0
29,random,0.0
30,random,
31,random,
32,random,-2.9103830456733704e-11
33,random,0.0
34,random,2.0728042886967766e-11
35,random,0.0
36,random,0.0
37,random,0.0
38,random,0.0
39,random,0.0
40,random,
41,random,0.0
42,random,0.0
43,random,0.0
44,random,2.9103830456733704e-11
45,random,0.0
46,random,0.0
47,random,0.0
48,random,0.0
49,random,0.0
50,random,0.0
51,random,0.0
52,random,0.0
53,random,0.0
54,random,-2.0728042886967766e-11
55,random,0.0
56,random,2.2032332143550803e-11
57,random,0.0
58,random,0.0
59,random,0.0
60,random,0.0
61,random,0.0
62,random,0.0
63,random,0.0
64,random,0.0
65,random,
66,random,0.0
67,random,0.0
68,random,0.0
69,random,0.0
70,random,0.0
71,random,
72,random,
73,random,0.0
74,random,0.0
75,random,0.0
76,random,0.0
77,random,2.9103830456733704e-11
78,random,0.0
79,random,-3.637978807091713e-11
80,random,0.0
81,random,0.0
82,random,0.0
83,random,0.0
84,random,0.0
85,random,0.0
86,random,-2.0728042886967766e-11
87,random,7.275957614183426e-12
88,random,0.0
89,random,0.0
90,random,
91,random,0.0
92,random,0.0
93,random,0.0
94,random,0.0
95,random,0.0
96,random,0.0
97,random,5.182010721741942e-12
98,random,0.0
99,random,2.9103830456733704e-11
100,log-norm,0.13367179443594068
101,log-norm,0.1823862501918733
102,log-norm,0.14573822040983941
103,log-norm,0.19812718561076334
104,log-norm,0.13168615475804665
105,log-norm,0.07267036932046791
106,log-norm,0.0911362078616584
107,log-norm,0.09333757526474074
108,log-norm,0.1624251520947296
109,log-norm,0.11173477075896854
110,log-norm,0.08789735133177601
111,log-norm,0.1492432297982035
112,log-norm,0.11365086758890848
113,log-norm,0.06931225678999908
114,log-norm,0.18068707174436682
115,log-norm,0.07521328313908465
116,log-norm,0.15617955476045609
117,log-norm,0.0985735498845248
118,log-norm,0.09080979728070726
119,log-norm,0.1720722981337421
120,log-norm,0.16362975843367167
121,log-norm,0.17611497976385462
122,log-norm,0.09182696366898396
123,log-norm,0.06067986000887591
124,log-norm,0.050535071980428344
125,log-norm,0.12604343096520834
126,log-norm,0.04620745033165592
127,log-norm,0.03446484328014776
128,log-norm,0.21664766825716342
129,log-norm,0.054619926610030234
130,log-norm,0.13930971252487057
131,log-norm,0.0839853221608077
132,log-norm,0.16719022851526608
133,log-norm,0.07417689021888424
134,log-norm,0.279520849878769
135,log-norm,0.06857336699331561
136,log-norm,0.16049379197773841
137,log-norm,0.1723808201393626
138,log-norm,0.1516000258448405
139,log-norm,0.12938282183105246
140,log-norm,0.11212203214381589
141,log-norm,0.11154309986977946
142,log-norm,0.11755122613712017
143,log-norm,0.1827002943670032
144,log-norm,0.09113148630156039
145,log-norm,0.07631216418694799
146,log-norm,0.11019966099666997
147,log-norm,0.1452883928326122
148,log-norm,0.15094819958903827
149,log-norm,0.10551526927156374
150,log-norm,0.12254578137887871
151,log-norm,0.18023472051174205
152,log-norm,0.10039920900486458
153,log-norm,0.11392991142445213
154,log-norm,0.12971312754166434
155,log-norm,0.12881501592346467
156,log-norm,0.062180025113320395
157,log-norm,0.14909122924509288
158,log-norm,0.16466932391631417
159,log-norm,0.2927728833329583
160,log-norm,0.11059851641119564
161,log-norm,0.1179141169504761
162,log-norm,0.07066379057020411
163,log-norm,0.06475808640595469
164,log-norm,0.08613581623862879
165,log-norm,0.14702751436240288
166,log-norm,0.09949344231129063
167,log-norm,0.17258384823472125
168,log-norm,0.09074615412347345
169,log-norm,0.04591289346461359
170,log-norm,0.062017193046500364
171,log-norm,0.06590604369987638
172,log-norm,0.22177481889612644
173,log-norm,0.062077610130551845
174,log-norm,0.24639526293321978
175,log-norm,0.08919515825982671
176,log-norm,0.08726975132594816
177,log-norm,0.16087270439765697
178,log-norm,0.08096149427110495
179,log-norm,0.09265507171404364
180,log-norm,0.08330880979948044
181,log-norm,0.13257602482917719
182,log-norm,0.15663558805938674
183,log-norm,0.10002940596104616
184,log-norm,0.085554296470294
185,log-norm,0.12399142682581521
186,log-norm,0.15755007840641538
187,log-norm,0.1127240065536323
188,log-norm,0.08648219350939536
189,log-norm,0.22486146110772184
190,log-norm,0.16152742788143912
191,log-norm,0.16247630355166706
192,log-norm,0.10569533300993679
193,log-norm,0.1303649320907425
194,log-norm,0.07957024463609172
195,log-norm,0.039439424529440464
196,log-norm,0.17396731770488782
197,log-norm,0.10198168760042155
198,log-norm,0.08195761109254997
199,log-norm,0.059346406329918604
